customer_name,time,total_weight
PILGRIM'S PRIDE BROADWAY(IRPS),3/28/16 20:03,0
PILGRIM'S PRIDE BROADWAY(IRPS),3/29/16 8:06,60022
PERDUE FOODS LLC,3/29/16 8:19,59520
PERDUE FOODS LLC,3/29/16 8:58,57550
PERDUE FOODS LLC,3/29/16 9:05,55440
PERDUE FOODS LLC,3/29/16 10:10,59480
PILGRIM'S PRIDE BROADWAY(IRPS),3/29/16 10:12,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/29/16 10:59,60022
PERDUE FOODS LLC,3/29/16 12:37,59520
PERDUE FOODS LLC,3/29/16 12:55,57550
PILGRIM'S PRIDE BROADWAY(IRPS),3/29/16 13:50,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/29/16 14:10,60022
PERDUE FOODS LLC,3/30/16 8:33,57550
PERDUE FOODS LLC,3/30/16 8:34,55440
PILGRIM'S PRIDE BROADWAY(IRPS),3/30/16 9:35,60022
PERDUE FOODS LLC,3/30/16 10:29,59520
PERDUE FOODS LLC,3/30/16 10:35,59480
PERDUE FOODS LLC,3/30/16 11:10,59520
PILGRIM'S PRIDE BROADWAY(IRPS),3/30/16 12:48,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/30/16 12:57,60022
PERDUE FOODS LLC,3/30/16 13:15,55095
PILGRIM'S PRIDE BROADWAY(IRPS),3/30/16 13:20,60022
PILGRIM'S PRIDE BROADWAY(IRPS),3/30/16 13:40,60022
PERDUE FOODS LLC,3/30/16 13:52,55095
PILGRIM'S PRIDE BROADWAY(IRPS),3/30/16 21:01,0
